rec,pro
89,56
36,6
88,42
64,76
2,42
50,16
93,27
75,9
28,1
35,25
52,98
44,40
20,65
10,35
38,43
18,5
52,11
67,51
98,52
35,39
57,32
29,15
91,10
72,82
11,76
51,55
91,85
57,3
19,12
86,99
70,84
78,53
39,85
20,36
25,19
92,91
47,55
44,28
28,60
15,45
67,15
89,22
33,76
39,7
31,8
17,47
28,49
35,79
93,31
65,90
83,21
34,77
59,41
14,77
20,35
55,85
86,9
22,98
89,21
51,42
81,68
15,32
83,52
61,42
47,76
38,36
72,75
35,72
11,88
5,37
48,63
55,76
43,67
71,10
87,80
60,25
98,45
62,70
5,93
4,82
71,62
18,7
99,6
70,61
13,49
65,23
79,52
9,56
72,92
29,98
39,5
1,15
41,58
37,98
85,72
3,64
96,21
93,30
76,83
95,17
17,68
59,26
56,69
81,62
20,49
97,91
57,97
57,88
20,17
86,35
73,46
16,33
13,19
56,15
69,66
37,27
45,63
87,20
30,77
30,93
93,46
44,99
89,1
53,24
43,27
55,37
47,10
8,6
92,73
84,60
12,30
41,59
73,81
79,97
5,56
15,30
21,57
8,39
2,83
28,21
7,23
42,48
92,61
58,30
76,78
94,20
10,38
73,87
96,63
78,93
37,71
8,90
78,65
58,8
93,13
10,11
99,46
62,91
3,81
1,44
79,91
5,11
72,81
57,60
30,7
94,8
17,83
36,78
43,62
20,74
18,48
37,44
62,43
76,10
58,28
24,43
89,90
72,91
83,20
5,94
50,57
66,83
33,25
31,48
16,28
26,78
36,2
8,5
38,49
63,37
89,31
40,61
94,59
81,87
44,1
7,56
31,67
85,51
51,96
84,45
96,8
45,71
59,70
46,24
21,32
40,5
28,77
74,76
53,73
16,68
80,12
33,43
68,56
55,21
25,76
47,68
91,66
35,83
43,31
2,37
63,5
12,15
67,34
86,84
66,50
88,74
95,52
20,47
90,89
29,79
5,99
70,51
60,91
61,56
56,24
95,78
55,90
23,83
59,83
7,42
63,59
78,18
23,67
64,52
18,9
37,89
65,17
12,68
54,22
8,23
29,51
19,64
42,59
83,49
7,58
38,25
75,10
87,5
78,31
60,95
36,90
10,37
40,24
14,38
87,75
23,49
46,40
13,98
91,54
44,78
72,48
9,77
89,15
31,76
29,69
41,11
42,83
2,45
78,43
15,81
13,57
97,36
62,11
24,73
45,23
58,2
33,15
46,10
88,95
53,35
20,88
15,12
31,21
3,15
15,56
35,9
74,41
83,84
23,24
60,66
69,1
14,44
99,50
9,63
59,96
46,18
90,4
94,75
47,74
57,38
70,96
36,45
74,20
97,71
91,92
70,87
1,55
86,79
17,40
85,7
21,82
79,47
60,63
53,48
87,33
43,81
64,56
30,2
54,55
96,14
18,19
36,66
64,61
97,44
45,16
11,69
11,1
54,12
52,66
81,64
57,81
97,54
4,74
40,87
31,33
20,60
75,84
35,91
82,51
9,31
87,92
70,13
74,70
49,17
59,71
23,29
10,99
99,37
62,23
40,13
32,25
93,88
14,95
76,95
72,27
95,94
75,55
42,63
4,84
71,79
39,51
54,86
12,10
4,23
25,59
74,52
98,54
67,60
83,47
18,35
43,63
69,51
34,46
77,76
19,47
29,45
16,23
71,42
65,1
31,20
3,73
89,82
95,59
67,38
68,22
49,40
98,71
14,8
21,2
5,26
8,19
99,35
45,57
27,12
68,74
45,27
44,19
68,85
63,33
56,12
15,94
10,57
42,90
77,18
70,18
38,90
99,20
40,82
50,24
24,75
47,99
29,76
87,35
13,67
90,32
45,32
80,83
98,89
14,78
7,5
2,73
53,28
19,31
26,10
56,85
13,9
38,53
45,2
24,18
6,35
96,64
8,67
78,6
98,40
17,27
1,82
9,99
7,79
93,25
11,28
65,64
86,83
76,35
82,17
71,22
63,88
36,20
48,21
61,18
85,98
11,72
28,7
53,59
13,2
24,16
28,32
38,40
9,46
89,3
42,4
57,92
49,75
58,29
85,67
65,32
40,48
25,71
5,49
42,19
85,83
98,85
69,12
25,65
16,73
61,65
22,31
28,92
68,69
18,13
78,39
83,69
22,36
95,63
17,85
86,73
92,44
11,62
7,36
63,90
34,22
65,16
43,59
52,1
30,81
69,75
60,77
83,56
73,61
84,9
51,83
6,5
26,91
37,93
72,18
89,78
11,5
81,34
52,73
57,34
38,82
85,89
52,24
38,45
36,1
24,65
6,37
36,18
85,59
87,61
48,73
34,7
17,44
95,88
9,44
8,14
72,77
22,10
23,68
6,21
12,76
36,59
60,98
12,9
41,75
46,88
54,64
63,86
63,35
2,96
56,9
19,77
5,95
23,54
67,86
92,72
28,96
32,90
55,1
63,41
36,30
88,44
61,32
89,94
13,11
46,74
23,9
65,63
78,59
61,74
82,89
77,69
12,70
35,33
77,60
87,56
90,9
29,90
6,45
51,33
97,93
87,96
44,15
14,33
60,41
76,55
8,56
64,83
98,61
38,70
82,48
57,68
59,7
27,48
91,13
59,92
54,7
24,71
20,31
68,32
98,66
52,43
15,43
17,82
29,86
19,1
71,83
22,48
41,33
25,44
87,60
97,50
36,17
56,86
56,43
74,10
55,70
87,70
58,39
21,79
95,80
70,12
52,49
82,67
18,28
10,34
48,4
95,27
97,88
19,28
22,6
14,96
57,1
67,1
14,2
72,83
8,1
60,85
38,27
10,94
72,24
3,43
48,5
30,76
21,65
73,79
1,61
27,40
38,99
97,83
24,47
58,12
37,47
21,64
80,5
32,57
45,50
24,74
52,30
79,68
6,34
99,26
78,27
97,12
66,43
1,34
38,97
31,91
25,58
55,80
89,49
45,75
41,8
66,77
77,67
19,81
46,49
84,3
82,56
45,35
18,46
22,25
53,77
34,44
83,62
56,37
36,97
61,76
5,33
68,75
69,26
84,26
81,84
58,13
83,71
45,46
67,91
63,50
96,35
71,65
97,31
71,74
32,84
59,66
77,37
40,31
78,2
2,92
28,86
37,86
97,52
70,58
74,29
13,16
94,6
73,53
42,38
10,47
36,43
62,48
77,33
54,18
40,33
22,15
95,18
64,34
92,46
31,14
3,20
23,50
5,73
83,32
68,82
36,71
1,72
29,38
59,56
19,59
92,28
7,38
71,4
39,92
29,27
42,3
99,36
86,11
88,64
71,73
46,43
2,48
94,79
82,96
38,9
61,72
82,22
1,6
38,86
6,11
30,97
49,6
69,10
98,81
97,69
1,67
23,20
36,7
25,51
17,1
18,90
64,85
5,59
78,82
19,62
47,62
56,44
74,71
82,97
18,94
69,19
33,1
3,92
33,65
90,71
7,55
92,9
89,81
58,92
65,55
18,84
71,3
83,7
65,15
59,73
15,35
42,75
83,34
96,37
98,51
88,67
35,34
59,80
96,31
18,54
90,53
15,19
67,72
32,79
48,42
85,27
42,72
6,99
86,82
63,14
15,36
3,56
15,93
53,83
6,13
94,9
4,16
61,92
7,16
2,76
54,37
70,93
67,33
22,19
21,23
15,47
74,87
75,31
23,96
6,29
65,83
77,10
95,35
60,87
57,71
61,9
88,7
89,28
39,82
67,87
47,79
34,20
60,88
27,25
34,29
80,26
32,43
20,45
86,68
24,67
44,58
35,8
84,85
19,5
36,77
92,11
30,84
57,6
53,74
86,40
74,90
5,27
18,99
84,46
41,9
22,13
70,21
29,5
41,26
80,17
93,83
36,86
91,20
93,70
71,64
66,58
71,38
33,51
78,83
92,2
92,83
3,76
8,98
23,3
28,44
84,11
42,29
60,94
97,32
31,86
80,10
2,69
13,12
99,74
78,28
22,59
63,99
79,13
63,65
64,37
59,51
44,79
9,33
29,60
39,86
8,9
98,15
39,89
19,54
99,76
21,50
43,10
79,46
20,94
8,95
39,78
13,50
64,68
29,97
80,37
56,8
8,73
21,81
86,25
70,31
37,92
29,96
64,30
69,72
50,99
92,99
43,84
61,51
8,45
33,7
49,20
23,16
26,19
34,15
85,4
50,56
47,12
59,49
56,32
16,11
18,59
2,47
79,48
1,46
63,78
29,81
28,63
58,54
85,47
98,19
23,62
60,19
63,82
28,4
11,95
14,88
30,78
12,60
86,46
85,28
30,66
28,29
50,10
63,4
99,30
59,77
37,82
16,17
51,97
41,57
44,63
22,96
90,42
93,60
71,24
7,29
13,85
38,24
95,43
40,9
15,80
48,49
63,95
66,25
56,36
2,35
80,21
97,16
73,86
33,3
52,90
86,80
59,13
95,91
54,60
74,8
21,11
15,20
82,45
9,90
89,77
99,10
69,92
57,96
39,26
38,60
56,59
79,51
13,64
52,28
36,23
27,79
22,69
78,35
46,41
67,81
49,67
32,67
79,8
51,79
74,3
70,55
44,20
19,63
66,24
75,49
51,99
18,72
70,23
80,99
7,94
39,41
13,82
57,25
71,31
24,10
10,95
45,66
41,56
92,29
25,36
10,43
9,59
72,40
7,86
57,12
58,4
70,30
97,45
76,77
25,9
34,10
4,97
84,54
68,23
88,79
23,33
82,76
36,3
68,87
58,33
63,7
34,11
38,66
68,10
30,8
53,15
83,13
60,59
25,53
97,7
7,74
45,94
38,8
13,66
8,52
31,68
12,4
11,38
47,42
87,82
10,67
5,45
9,75
78,8
19,9
19,98
16,83
58,89
63,22
67,73
63,3
93,22
53,69
13,51
30,18
57,23
29,73
2,41
15,14
67,4
67,96
37,5
95,74
53,71
56,79
24,96
64,96
85,17
4,3
49,94
95,3
29,16
36,87
43,53
84,77
69,2
6,79
79,74
21,77
17,86
7,80
31,73
6,42
99,70
33,47
81,8
42,96
76,90
3,6
82,25
29,72
6,26
48,2
91,82
93,92
97,62
66,92
13,72
36,63
1,17
58,47
71,20
4,57
11,10
21,75
64,40
47,53
65,93
35,38
3,23
98,78
72,73
58,26
24,87
33,13
67,40
92,77
49,58
56,16
6,44
49,41
81,57
80,48
61,23
48,86
73,48
99,38
50,8
99,31
53,18
91,88
44,49
46,44
43,8
24,20
48,89
89,48
68,8
34,23
5,84
49,65
55,84
84,88
41,34
60,62
3,88
1,24
30,10
88,84
56,19
64,57
16,63
84,28
76,42
5,38
44,4
20,81
1,21
43,16
75,26
50,69
89,58
82,41
92,60
56,80
43,70
27,30
14,98
36,25
12,57
63,70
33,67
24,4
23,66
63,48
33,10
51,89
49,47
6,2
83,29
30,38
94,49
24,7
6,91
30,90
14,9
5,17
15,22
22,92
50,6
69,6
53,90
7,82
89,98
44,10
58,59
74,11
40,34
8,66
59,31
8,61
99,94
81,12
29,70
49,76
66,41
18,83
28,9
31,45
49,51
58,41
79,77
70,59
69,41
66,76
4,88
32,59
41,91
55,58
71,32
2,17
34,98
4,79
75,1
94,37
39,58
18,74
94,89
53,97
97,82
41,23
91,50
78,51
30,34
27,51
91,44
3,46
85,5
28,22
53,55
39,55
75,57
62,46
98,18
20,14
39,76
68,95
77,43
71,9
82,79
83,54
75,70
65,88
63,38
71,13
96,48
86,52
18,10
8,11
76,40
32,93
2,4
33,30
53,92
78,13
61,82
31,62
99,58
4,27
79,38
99,47
68,70
63,26
28,67
90,36
17,4
37,52
21,67
54,1
71,29
85,75
48,66
58,91
85,71
46,57
4,55
96,84
72,80
80,46
92,18
12,16
77,79
60,39
19,61
82,14
68,26
84,96
73,49
4,24
45,6
50,32
54,79
59,69
62,68
83,81
90,77
77,39
1,32
29,64
39,36
74,82
43,99
60,36
26,67
37,42
59,19
17,90
72,23
99,22
7,95
99,54
55,59
16,50
57,77
91,70
97,2
29,93
40,6
10,13
44,75
1,76
44,54
71,16
95,14
59,32
67,20
70,64
3,27
24,79
35,6
22,94
37,64
86,14
9,37
11,32
42,67
71,88
84,38
46,6
16,15
17,32
71,19
65,74
92,64
95,54
99,92
30,69
75,85
58,6
62,51
68,20
79,64
6,3
40,8
38,37
5,18
96,62
45,5
19,58
2,84
60,40
65,30
5,24
89,92
12,31
24,12
84,16
27,24
77,1
4,52
15,40
72,50
67,59
95,46
4,21
84,23
40,62
31,1
84,7
59,17
85,8
81,76
14,42
79,98
20,76
77,88
37,81
53,72
48,59
1,71
73,54
91,25
41,3
61,98
14,72
96,87
5,83
20,42
50,59
91,95
32,13
41,27
21,94
75,58
57,78
94,85
19,84
44,30
95,81
44,39
91,58
38,75
35,61
22,37
18,95
37,1
72,33
73,45
1,56
87,6
43,29
65,33
27,74
82,50
92,32
99,39
40,10
4,36
81,19
42,71
99,87
42,17
46,35
30,61
26,33
40,11
71,28
69,9
95,79
11,16
12,20
97,67
78,85
49,85
80,29
53,8
28,91
43,37
64,53
22,47
8,60
51,25
69,8
24,92
67,49
52,19
58,86
16,46
35,84
80,4
10,74
52,25
94,80
21,99
20,58
97,63
81,94
43,92
74,16
19,32
74,59
55,7
35,21
80,47
89,74
10,51
30,79
6,9
90,12
83,78
30,14
38,31
53,14
93,44
86,67
50,46
77,12
52,86
14,46
12,17
52,76
81,30
16,8
37,28
52,31
59,62
51,50
4,29
28,11
71,75
39,6
55,69
61,97
50,92
27,97
40,94
40,78
51,93
18,60
10,58
79,89
6,40
22,45
24,99
65,97
13,38
76,7
2,6
18,15
6,82
88,81
61,26
20,86
73,43
68,7
18,56
41,88
27,19
88,99
73,57
48,14
59,48
94,38
65,81
73,22
52,71
53,87
14,56
55,33
4,73
32,37
87,43
22,51
37,58
13,27
75,59
7,97
27,76
62,76
41,72
78,95
82,87
80,60
52,6
33,2
17,22
90,95
35,42
12,93
90,8
38,51
90,83
61,43
58,76
80,19
2,59
35,44
17,48
60,48
35,98
92,36
73,97
91,31
18,98
43,90
14,80
68,51
37,63
36,32
21,95
91,35
30,67
47,2
79,49
56,90
97,80
82,6
26,41
14,37
77,2
28,75
71,82
59,42
44,84
45,99
77,5
6,18
16,5
69,32
97,34
93,63
80,68
83,41
37,67
93,85
93,32
44,67
21,42
97,85
62,80
93,34
28,23
9,19
96,44
20,26
43,20
57,53
4,98
23,52
48,7
57,42
23,8
23,44
55,82
9,74
73,56
66,88
22,87
52,23
39,34
47,60
20,90
65,4
27,16
13,36
23,90
56,57
20,80
49,12
22,41
78,86
44,68
81,29
14,84
9,36
60,73
47,57
75,23
17,53
2,70
40,99
87,15
34,14
67,66
70,39
97,94
22,56
69,73
59,93
42,88
10,50
47,92
20,8
74,39
34,38
46,50
56,75
87,69
78,24
37,88
98,46
14,64
80,97
74,36
49,11
97,30
88,92
99,73
15,26
25,45
54,76
29,99
7,84
12,44
6,24
77,40
89,84
61,38
49,52
99,90
62,93
60,53
86,74
59,68
5,46
19,4
57,87
3,35
85,37
34,78
16,29
33,37
56,1
99,80
50,4
54,40
27,35
85,34
79,10
38,96
94,71
12,2
65,10
45,60
79,28
80,73
63,92
82,19
74,94
95,72
47,23
89,88
90,94
14,82
2,14
58,40
59,98
99,4
82,16
52,56
51,77
94,78
24,66
88,51
26,6
24,77
73,1
39,14
81,96
22,2
36,4
44,42
54,28
66,75
52,48
89,47
45,51
8,92
41,79
62,2
29,87
2,58
47,11
13,94
2,36
68,99
67,8
83,75
98,14
1,12
70,16
35,78
46,21
81,32
22,84
27,11
81,73
9,22
80,8
10,45
53,12
5,70
73,14
88,11
52,94
50,95
47,73
5,61
76,3
79,19
26,31
6,30
50,88
20,53
41,29
76,56
63,68
28,43
41,7
80,45
96,77
42,2
21,15
51,62
27,65
56,33
81,33
68,4
55,11
90,75
52,92
83,44
39,35
56,92
64,14
74,13
58,83
18,81
54,71
90,66
39,11
18,43
37,95
22,72
9,42
33,39
46,75
69,48
7,9
26,1
37,66
19,71
80,39
73,17
75,5
14,68
53,42
34,17
12,22
66,9
4,20
63,24
90,63
20,69
11,66
40,15
23,4
67,79
64,59
90,48
14,53
75,89
80,38
91,16
43,13
72,88
11,83
14,66
86,64
3,86
74,4
36,49
43,88
56,51
40,75
84,90
57,64
72,74
74,31
81,85
53,49
79,90
45,33
44,45
44,46
77,55
55,20
85,93
38,98
1,4
26,53
41,50
8,28
3,2
83,5
24,76
36,14
76,13
33,79
6,62
95,19
66,18
32,75
39,42
75,56
96,66
76,29
30,58
76,28
17,74
95,1
60,81
73,31
65,54
61,81
86,18
46,86
55,43
14,22
42,6
14,28
87,57
19,20
17,37
75,14
35,3
30,95
9,92
5,54
3,32
84,67
58,27
61,68
52,53
81,10
55,86
49,30
25,63
58,25
76,89
7,26
67,5
18,44
45,7
76,4
38,10
15,4
31,22
78,5
12,88
5,86
80,88
11,89
77,6
5,7
86,95
80,96
46,72
92,52
28,27
11,78
60,45
77,95
36,37
62,5
96,11
98,90
57,20
60,74
7,61
86,31
75,99
20,2
7,20
25,78
4,50
48,35
62,8
25,86
19,68
40,23
12,61
39,17
43,25
68,59
37,34
3,52
54,99
36,72
21,51
66,20
79,23
2,12
94,34
75,80
51,27
18,85
36,10
57,17
72,84
42,40
87,28
67,47
77,36
27,45
93,5
30,42
53,54
48,39
88,52
43,28
72,11
4,99
76,82
64,28
87,12
67,65
32,68
64,49
45,80
54,50
87,54
78,17
83,22
13,83
78,19
82,57
25,82
6,65
84,1
76,58
98,39
67,16
99,53
33,28
33,12
36,76
99,12
96,80
17,45
44,35
49,35
82,37
72,62
87,4
1,90
47,89
57,79
6,67
26,38
55,36
67,18
10,81
59,16
23,97
8,18
49,36
62,4
8,50
62,37
8,42
2,54
66,35
51,29
38,80
73,23
49,28
77,41
39,70
56,29
40,50
75,78
10,70
10,61
54,94
45,98
56,50
13,52
5,75
51,69
59,28
74,50
96,51
49,4
82,2
75,86
77,98
49,98
77,93
19,42
8,93
64,26
94,74
5,97
22,76
31,98
34,55
28,84
87,16
97,68
74,56
77,11
80,77
34,83
29,49
20,24
27,84
34,27
86,45
90,65
26,37
58,34
85,66
18,80
12,38
5,40
43,17
46,34
36,31
50,41
93,95
9,20
33,89
11,46
3,84
82,84
32,21
77,84
60,72
60,46
32,71
61,78
33,56
4,51
83,88
39,45
57,9
96,2
37,85
88,2
23,86
51,32
70,63
49,83
65,18
38,74
56,10
96,53
91,32
65,48
76,72
78,11
66,67
21,19
20,50
44,34
71,63
64,79
88,33
69,21
53,25
10,79
20,12
31,28
36,96
62,29
64,17
66,82
71,94
68,79
19,87
34,87
39,20
33,72
91,78
23,27
64,8
24,82
29,47
18,37
96,28
41,35
20,55
42,24
87,98
7,39
61,69
94,90
32,19
9,11
78,38
69,62
65,41
1,28
10,21
79,42
54,63
35,22
93,65
29,23
70,14
88,46
65,47
69,94
63,43
58,63
48,9
62,17
10,89
32,33
24,32
85,40
19,43
92,26
20,28
27,62
17,78
22,53
1,88
47,40
9,96
28,16
35,95
71,6
59,3
24,58
14,3
71,11
79,39
68,93
41,46
97,13
88,97
50,35
70,79
47,69
23,25
96,93
71,80
9,23
28,97
1,99
5,62
23,38
34,54
64,45
59,50
70,62
19,99
78,22
8,71
97,22
75,97
71,96
33,86
23,53
15,77
87,24
85,78
10,66
89,16
68,2
55,22
60,42
23,73
30,35
83,26
4,56
76,81
62,32
48,67
56,84
48,40
41,2
75,47
65,22
55,29
96,78
52,9
25,39
95,26
9,81
14,27
59,37
77,83
39,64
54,93
74,28
4,96
74,19
82,65
25,98
76,99
83,12
25,4
48,33
27,26
19,94
63,2
32,7
58,16
96,94
76,5
80,66
98,23
92,53
30,64
47,50
44,92
25,75
22,46
20,46
18,40
46,7
41,53
84,29
32,12
90,85
46,77
70,75
72,30
71,90
24,42
48,62
15,8
78,32
52,60
55,19
80,14
3,28
50,47
29,25
48,57
62,42
92,17
27,7
87,84
